File Name,corona Allplex 01-03-21  placa 7  2130 hs.pcrd,,,,,
Created By User,admin,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,03/02/2021 00:23:04 UTC,,,,,
Run Ended,03/02/2021 02:12:13 UTC,,,,,
Sample Vol,10,,,,,
Lid Temp,105,,,,,
Protocol File Name,Corona Allplex.prcl,,,,,
Plate Setup File Name,Placa Allplex.pltd,,,,,
Base Serial Number,CT043124,,,,,
Optical Head Serial Number,785BR22113,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,4,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
D01,HEX,,Unkn,,25.5233456399521,NaN
D02,HEX,,Unkn,,28.3507554237235,NaN
D03,HEX,,Unkn,,25.7520480213716,NaN
D04,HEX,,Unkn,,26.6168708724815,NaN
D05,HEX,,Unkn,,25.6817012463995,NaN
D06,HEX,,Unkn,,25.5389369399433,NaN
E01,HEX,,Unkn,,31.7452860318167,NaN
E02,HEX,,Unkn,,26.4130761476573,NaN
E03,HEX,,Unkn,,26.2133211095974,NaN
E04,HEX,,Unkn,,26.502417963168,NaN
E05,HEX,,Unkn,,25.5070261269915,NaN
E06,HEX,,Unkn,,24.8838349751341,NaN
F01,HEX,,Unkn,,25.4153575166175,NaN
F02,HEX,,Unkn,,25.4540805746062,NaN
F03,HEX,,Unkn,,26.800882352101,NaN
F04,HEX,,Unkn,,25.3865986379132,NaN
F05,HEX,,Unkn,,25.1880201032891,NaN
F06,HEX,,Unkn,,25.1791135065979,NaN
G01,HEX,,Unkn,,26.53377035234,NaN
G02,HEX,,Unkn,,25.6576027527715,NaN
G03,HEX,,Unkn,,26.2820786250234,NaN
G04,HEX,,Unkn,,25.4592153220492,NaN
G05,HEX,,Unkn,,25.1040362194358,NaN
G06,HEX,,Unkn,,25.3033061017352,NaN
H01,HEX,,Unkn,,25.0402271401494,NaN
H02,HEX,,Unkn,,25.5996315703606,NaN
H03,HEX,,Unkn,,26.4045828728718,NaN
H04,HEX,,Unkn,,25.0806263876473,NaN
H05,HEX,,Unkn,,25.0776378421636,NaN
H06,HEX,,Pos Ctrl,,23.1783409038991,NaN
A01,Quasar 670,,NTC,,NaN,NaN
A02,Quasar 670,,Unkn,,NaN,NaN
A03,Quasar 670,,Unkn,,NaN,NaN
A04,Quasar 670,,Unkn,,NaN,NaN
A05,Quasar 670,,Unkn,,36.0669308334146,NaN
A06,Quasar 670,,Unkn,,NaN,NaN
B01,Quasar 670,,Unkn,,NaN,NaN
B02,Quasar 670,,Unkn,,NaN,NaN
B03,Quasar 670,,Unkn,,NaN,NaN
B04,Quasar 670,,Unkn,,NaN,NaN
B05,Quasar 670,,Unkn,,NaN,NaN
B06,Quasar 670,,Unkn,,NaN,NaN
C01,Quasar 670,,Unkn,,NaN,NaN
C02,Quasar 670,,Unkn,,NaN,NaN
C03,Quasar 670,,Unkn,,NaN,NaN
C04,Quasar 670,,Unkn,,NaN,NaN
C05,Quasar 670,,Unkn,,NaN,NaN
C06,Quasar 670,,Unkn,,20.2130951794358,NaN
D01,Quasar 670,,Unkn,,NaN,NaN
D02,Quasar 670,,Unkn,,NaN,NaN
D03,Quasar 670,,Unkn,,NaN,NaN
D04,Quasar 670,,Unkn,,NaN,NaN
D05,Quasar 670,,Unkn,,NaN,NaN
D06,Quasar 670,,Unkn,,27.2840274544222,NaN
E01,Quasar 670,,Unkn,,NaN,NaN
E02,Quasar 670,,Unkn,,25.1872462966356,NaN
E03,Quasar 670,,Unkn,,NaN,NaN
E04,Quasar 670,,Unkn,,NaN,NaN
E05,Quasar 670,,Unkn,,NaN,NaN
E06,Quasar 670,,Unkn,,NaN,NaN
F01,Quasar 670,,Unkn,,NaN,NaN
F02,Quasar 670,,Unkn,,NaN,NaN
F03,Quasar 670,,Unkn,,NaN,NaN
F04,Quasar 670,,Unkn,,NaN,NaN
F05,Quasar 670,,Unkn,,NaN,NaN
F06,Quasar 670,,Unkn,,30.5842748699132,NaN
G01,Quasar 670,,Unkn,,NaN,NaN
G02,Quasar 670,,Unkn,,NaN,NaN
G03,Quasar 670,,Unkn,,NaN,NaN
G04,Quasar 670,,Unkn,,NaN,NaN
G05,Quasar 670,,Unkn,,NaN,NaN
G06,Quasar 670,,Unkn,,NaN,NaN
H01,Quasar 670,,Unkn,,NaN,NaN
H02,Quasar 670,,Unkn,,NaN,NaN
H03,Quasar 670,,Unkn,,NaN,NaN
H04,Quasar 670,,Unkn,,NaN,NaN
H05,Quasar 670,,Unkn,,NaN,NaN
H06,Quasar 670,,Pos Ctrl,,23.8268188551025,NaN
